noise,coupling,cluster
0.0014,0.14,2
0.0014,0.145,2
0.0014,0.15,3
0.0014,0.155,3
0.0014,0.16,3
0.0014,0.165,3
0.0014,0.17,3
0.0014,0.175,3
0.0014,0.18,3
0.0014,0.185,3
0.0014,0.19,3
0.0014,0.195,2
0.0014,0.2,2
0.0016,0.0,0
0.0016,0.005,2
0.0016,0.01,2
0.0016,0.015,2
0.0016,0.02,1
0.0016,0.025,1
0.0016,0.03,1
0.0016,0.035,1
0.0016,0.04,1
0.0016,0.045,4
0.0016,0.05,4
0.0016,0.055,2
0.0016,0.06,4
0.0016,0.065,2
0.0016,0.07,2
0.0016,0.075,2
0.0016,0.08,2
0.0016,0.085,2
0.0016,0.09,2
0.0016,0.095,2
0.0016,0.1,2
0.0016,0.105,2
0.0016,0.11,2
0.0016,0.115,3
0.0016,0.12,2
0.0016,0.125,2
0.0016,0.13,3
0.0016,0.135,2
0.0016,0.14,3
0.0016,0.145,2
0.0016,0.15,3
0.0016,0.155,2
0.0016,0.16,3
0.0016,0.165,3
0.0016,0.17,3
0.0016,0.175,3
0.0016,0.18,3
0.0016,0.185,3
0.0016,0.19,3
0.0016,0.195,3
0.0016,0.2,3
0.0018,0.0,0
0.0018,0.005,2
0.0018,0.01,4
0.0018,0.015,2
0.0018,0.02,1
0.0018,0.025,1
0.0018,0.03,1
0.0018,0.035,1
0.0018,0.04,1
0.0018,0.045,1
0.0018,0.05,4
0.0018,0.055,4
0.0018,0.06,2
0.0018,0.065,2
0.0018,0.07,2
0.0018,0.075,2
0.0018,0.08,2
0.0018,0.085,2
0.0018,0.09,2
0.0018,0.095,2
0.0018,0.1,2
0.0018,0.105,2
0.0018,0.11,2
0.0018,0.115,2
0.0018,0.12,2
0.0018,0.125,2
0.0018,0.13,2
0.0018,0.135,2
0.0018,0.14,2
0.0018,0.145,2
0.0018,0.15,2
0.0018,0.155,3
0.0018,0.16,2
0.0018,0.165,2
0.0018,0.17,3
0.0018,0.175,2
0.0018,0.18,3
0.0018,0.185,2
0.0018,0.19,2
0.0018,0.195,3
0.0018,0.2,3
0.002,0.0,0
0.002,0.005,2
0.002,0.01,4
0.002,0.015,1
0.002,0.02,1
0.002,0.025,1
0.002,0.03,1
0.002,0.035,1
0.002,0.04,1
0.002,0.045,1
0.002,0.05,4
0.002,0.055,4
0.002,0.06,2
0.002,0.065,2
0.002,0.07,2
0.002,0.075,2
0.002,0.08,2
0.002,0.085,2
0.002,0.09,2
0.002,0.095,2
0.002,0.1,2
0.002,0.105,2
0.002,0.11,2
0.002,0.115,2
0.002,0.12,2
0.002,0.125,2
0.002,0.13,2
0.002,0.135,2
0.002,0.14,2
0.002,0.145,2
0.002,0.15,2
0.002,0.155,2
0.002,0.16,3
0.002,0.165,2
0.002,0.17,3
0.002,0.175,2
0.002,0.18,3
0.002,0.185,2
0.002,0.19,3
0.002,0.195,2
0.002,0.2,3
0.0025,0.0,0
0.0025,0.005,4
0.0025,0.01,1
0.0025,0.015,1
0.0025,0.02,1
0.0025,0.025,1
0.0025,0.03,1
0.0025,0.035,1
0.0025,0.04,1
0.0025,0.045,4
0.0025,0.05,4
0.0025,0.055,4
0.0025,0.06,2
0.0025,0.065,2
0.0025,0.07,2
0.0025,0.075,2
0.0025,0.08,2
0.0025,0.085,2
0.0025,0.09,2
0.0025,0.095,2
0.0025,0.1,2
0.0025,0.105,2
0.0025,0.11,2
0.0025,0.115,2
0.0025,0.12,2
0.0025,0.125,2
0.0025,0.13,2
0.0025,0.135,2
0.0025,0.14,2
0.0025,0.145,2
0.0025,0.15,2
0.0025,0.155,2
0.0025,0.16,2
0.0025,0.165,2
0.0025,0.17,2
0.0025,0.175,2
0.0025,0.18,3
0.0025,0.185,2
0.0025,0.19,2
0.0025,0.195,3
0.0025,0.2,2
0.003,0.0,0
0.003,0.005,0
0.003,0.01,1
0.003,0.015,1
0.003,0.02,1
0.003,0.025,1
0.003,0.03,1
0.003,0.035,1
0.003,0.04,1
0.003,0.045,1
0.003,0.05,4
0.003,0.055,2
0.003,0.06,4
0.003,0.065,4
0.003,0.07,2
0.003,0.075,4
0.003,0.08,2
0.003,0.085,2
0.003,0.09,2
0.003,0.095,2
0.003,0.1,2
0.003,0.105,2
0.003,0.11,2
0.003,0.115,2
0.003,0.12,2
0.003,0.125,2
0.003,0.13,2
0.003,0.135,2
0.003,0.14,2
0.003,0.145,2
0.003,0.15,2
0.003,0.155,2
0.003,0.16,2
0.003,0.165,2
0.003,0.17,2
0.003,0.175,2
0.003,0.18,2
0.003,0.185,2
0.003,0.19,2
0.003,0.195,2
0.003,0.2,3
0.0035,0.0,0
0.0035,0.005,0
0.0035,0.01,1
0.0035,0.015,1
0.0035,0.02,1
0.0035,0.025,1
0.0035,0.03,1
0.0035,0.035,1
0.0035,0.04,1
0.0035,0.045,1
0.0035,0.05,1
0.0035,0.055,4
0.0035,0.06,4
0.0035,0.065,4
0.0035,0.07,4
0.0035,0.075,2
0.0035,0.08,4
0.0035,0.085,2
0.0035,0.09,2
0.0035,0.095,2
0.0035,0.1,2
0.0035,0.105,2
0.0035,0.11,2
0.0035,0.115,2
0.0035,0.12,2
0.0035,0.125,2
0.0035,0.13,2
0.0035,0.135,2
0.0035,0.14,2
0.0035,0.145,2
0.0035,0.15,2
0.0035,0.155,2
0.0035,0.16,2
0.0035,0.165,2
0.0035,0.17,2
0.0035,0.175,2
0.0035,0.18,2
0.0035,0.185,2
0.0035,0.19,2
0.0035,0.195,2
0.0035,0.2,2
0.004,0.0,0
0.004,0.005,0
0.004,0.01,1
0.004,0.015,1
0.004,0.02,1
0.004,0.025,1
0.004,0.03,1
0.004,0.035,1
0.004,0.04,1
0.004,0.045,1
0.004,0.05,1
0.004,0.055,1
0.004,0.06,4
0.004,0.065,4
0.004,0.07,4
0.004,0.075,4
0.004,0.08,2
0.004,0.085,2
0.004,0.09,2
0.004,0.095,2
0.004,0.1,2
0.004,0.105,2
0.004,0.11,2
0.004,0.115,2
0.004,0.12,2
0.004,0.125,2
0.004,0.13,2
0.004,0.135,2
0.004,0.14,2
0.004,0.145,2
0.004,0.15,2
0.004,0.155,2
0.004,0.16,2
0.004,0.165,2
0.004,0.17,2
0.004,0.175,2
0.004,0.18,2
0.004,0.185,2
0.004,0.19,2
0.004,0.195,2
0.004,0.2,2
0.0045,0.0,0
0.0045,0.005,0
0.0045,0.01,1
0.0045,0.015,1
0.0045,0.02,1
0.0045,0.025,1
0.0045,0.03,1
0.0045,0.035,1
0.0045,0.04,1
0.0045,0.045,1
0.0045,0.05,1
0.0045,0.055,1
0.0045,0.06,4
0.0045,0.065,1
0.0045,0.07,4
0.0045,0.075,2
0.0045,0.08,2
0.0045,0.085,2
0.0045,0.09,2
0.0045,0.095,2
0.0045,0.1,2
0.0045,0.105,2
0.0045,0.11,2
0.0045,0.115,2
0.0045,0.12,2
0.0045,0.125,2
0.0045,0.13,2
0.0045,0.135,2
0.0045,0.14,2
0.0045,0.145,2
0.0045,0.15,2
0.0045,0.155,2
0.0045,0.16,2
0.0045,0.165,2
0.0045,0.17,2
0.0045,0.175,2
0.0045,0.18,2
0.0045,0.185,2
0.0045,0.19,2
0.0045,0.195,2
0.0045,0.2,2
0.005,0.0,0
0.005,0.005,0
0.005,0.01,1
0.005,0.015,1
0.005,0.02,1
0.005,0.025,1
0.005,0.03,1
0.005,0.035,1
0.005,0.04,1
0.005,0.045,1
0.005,0.05,1
0.005,0.055,1
0.005,0.06,4
0.005,0.065,4
0.005,0.07,4
0.005,0.075,4
0.005,0.08,4
0.005,0.085,2
0.005,0.09,2
0.005,0.095,2
0.005,0.1,2
0.005,0.105,2
0.005,0.11,2
0.005,0.115,2
0.005,0.12,2
0.005,0.125,2
0.005,0.13,2
0.005,0.135,2
0.005,0.14,2
0.005,0.145,2
0.005,0.15,2
0.005,0.155,2
0.005,0.16,2
0.005,0.165,2
0.005,0.17,2
0.005,0.175,2
0.005,0.18,2
0.005,0.185,2
0.005,0.19,2
0.005,0.195,2
0.005,0.2,2
0.0055,0.0,0
0.0055,0.005,0
0.0055,0.01,1
0.0055,0.015,1
0.0055,0.02,1
0.0055,0.025,1
0.0055,0.03,1
0.0055,0.035,1
0.0055,0.04,1
0.0055,0.045,1
0.0055,0.05,1
0.0055,0.055,1
0.0055,0.06,1
0.0055,0.065,1
0.0055,0.07,1
0.0055,0.075,4
0.0055,0.08,4
0.0055,0.085,4
0.0055,0.09,2
0.0055,0.095,2
0.0055,0.1,2
0.0055,0.105,2
0.0055,0.11,2
0.0055,0.115,2
0.0055,0.12,2
0.0055,0.125,2
0.0055,0.13,2
0.0055,0.135,2
0.0055,0.14,2
0.0055,0.145,2
0.0055,0.15,2
0.0055,0.155,2
0.0055,0.16,2
0.0055,0.165,2
0.0055,0.17,2
0.0055,0.175,2
0.0055,0.18,2
0.0055,0.185,2
0.0055,0.19,2
0.0055,0.195,2
0.0055,0.2,2
0.006,0.0,0
0.006,0.005,1
0.006,0.01,1
0.006,0.015,1
0.006,0.02,1
0.006,0.025,1
0.006,0.03,1
0.006,0.035,1
0.006,0.04,1
0.006,0.045,1
0.006,0.05,1
0.006,0.055,1
0.006,0.06,4
0.006,0.065,1
0.006,0.07,4
0.006,0.075,4
0.006,0.08,2
0.006,0.085,4
0.006,0.09,2
0.006,0.095,2
0.006,0.1,2
0.006,0.105,2
0.006,0.11,2
0.006,0.115,2
0.006,0.12,2
0.006,0.125,2
0.006,0.13,2
0.006,0.135,2
0.006,0.14,2
0.006,0.145,2
0.006,0.15,2
0.006,0.155,2
0.006,0.16,2
0.006,0.165,2
0.006,0.17,2
