noise,coupling
0.0006,0.175
0.0006,0.18
0.0006,0.185
0.0006,0.19
0.0006,0.195
0.0006,0.2
0.0008,0.0
0.0008,0.005
0.0008,0.01
0.0008,0.015
0.0008,0.02
0.0008,0.025
0.0008,0.03
0.0008,0.035
0.0008,0.04
0.0008,0.045
0.0008,0.05
0.0008,0.055
0.0008,0.06
0.0008,0.065
0.0008,0.07
0.0008,0.075
0.0008,0.08
0.0008,0.085
0.0008,0.09
0.0008,0.095
0.0008,0.1
0.0008,0.105
0.0008,0.11
0.0008,0.115
0.0008,0.12
0.0008,0.125
0.0008,0.13
0.0008,0.135
0.0008,0.14
0.0008,0.145
0.0008,0.15
0.0008,0.155
0.0008,0.16
0.0008,0.165
0.0008,0.17
0.0008,0.175
0.0008,0.18
0.0008,0.185
0.0008,0.19
0.0008,0.195
0.0008,0.2
0.001,0.0
0.001,0.005
0.001,0.01
0.001,0.015
0.001,0.02
0.001,0.025
0.001,0.03
0.001,0.035
0.001,0.04
0.001,0.045
0.001,0.05
0.001,0.055
0.001,0.06
0.001,0.065
0.001,0.07
0.001,0.075
0.001,0.08
0.001,0.085
0.001,0.09
0.001,0.095
0.001,0.1
0.001,0.105
0.001,0.11
0.001,0.115
0.001,0.12
0.001,0.125
0.001,0.13
0.001,0.135
0.001,0.14
0.001,0.145
0.001,0.15
0.001,0.155
0.001,0.16
0.001,0.165
0.001,0.17
0.001,0.175
0.001,0.18
0.001,0.185
0.001,0.19
0.001,0.195
0.001,0.2
0.0012,0.0
0.0012,0.005
0.0012,0.01
0.0012,0.015
0.0012,0.02
0.0012,0.025
0.0012,0.03
0.0012,0.035
0.0012,0.04
0.0012,0.045
0.0012,0.05
0.0012,0.055
0.0012,0.06
0.0012,0.065
0.0012,0.07
0.0012,0.075
0.0012,0.08
0.0012,0.085
0.0012,0.09
0.0012,0.095
0.0012,0.1
0.0012,0.105
0.0012,0.11
0.0012,0.115
0.0012,0.12
0.0012,0.125
0.0012,0.13
0.0012,0.135
0.0012,0.14
0.0012,0.145
0.0012,0.15
0.0012,0.155
0.0012,0.16
0.0012,0.165
0.0012,0.17
0.0012,0.175
0.0012,0.18
0.0012,0.185
0.0012,0.19
0.0012,0.195
0.0012,0.2
0.0014,0.0
0.0014,0.005
0.0014,0.01
0.0014,0.015
0.0014,0.02
0.0014,0.025
0.0014,0.03
0.0014,0.035
0.0014,0.04
0.0014,0.045
0.0014,0.05
0.0014,0.055
0.0014,0.06
0.0014,0.065
0.0014,0.07
0.0014,0.075
0.0014,0.08
0.0014,0.085
0.0014,0.09
0.0014,0.095
0.0014,0.1
0.0014,0.105
0.0014,0.11
0.0014,0.115
0.0014,0.12
0.0014,0.125
0.0014,0.13
0.0014,0.135
0.0014,0.14
0.0014,0.145
0.0014,0.15
0.0014,0.155
0.0014,0.16
0.0014,0.165
0.0014,0.17
0.0014,0.175
0.0014,0.18
0.0014,0.185
0.0014,0.19
0.0014,0.195
0.0014,0.2
0.0016,0.0
0.0016,0.005
0.0016,0.01
0.0016,0.015
0.0016,0.02
0.0016,0.025
0.0016,0.03
0.0016,0.035
0.0016,0.04
0.0016,0.045
0.0016,0.05
0.0016,0.055
0.0016,0.06
0.0016,0.065
0.0016,0.07
0.0016,0.075
0.0016,0.08
0.0016,0.085
0.0016,0.09
0.0016,0.095
0.0016,0.1
0.0016,0.105
0.0016,0.11
0.0016,0.115
0.0016,0.12
0.0016,0.125
0.0016,0.13
0.0016,0.135
0.0016,0.14
0.0016,0.145
0.0016,0.15
0.0016,0.155
0.0016,0.16
0.0016,0.165
0.0016,0.17
0.0016,0.175
0.0016,0.18
0.0016,0.185
0.0016,0.19
0.0016,0.195
0.0016,0.2
0.0018,0.0
0.0018,0.005
0.0018,0.01
0.0018,0.015
0.0018,0.02
0.0018,0.025
0.0018,0.03
0.0018,0.035
0.0018,0.04
0.0018,0.045
0.0018,0.05
0.0018,0.055
0.0018,0.06
0.0018,0.065
0.0018,0.07
0.0018,0.075
0.0018,0.08
0.0018,0.085
0.0018,0.09
0.0018,0.095
0.0018,0.1
0.0018,0.105
0.0018,0.11
0.0018,0.115
0.0018,0.12
0.0018,0.125
0.0018,0.13
0.0018,0.135
0.0018,0.14
0.0018,0.145
0.0018,0.15
0.0018,0.155
0.0018,0.16
0.0018,0.165
0.0018,0.17
0.0018,0.175
0.0018,0.18
0.0018,0.185
0.0018,0.19
0.0018,0.195
0.0018,0.2
0.002,0.0
0.002,0.005
0.002,0.01
0.002,0.015
0.002,0.02
0.002,0.025
0.002,0.03
0.002,0.035
0.002,0.04
0.002,0.045
0.002,0.05
0.002,0.055
0.002,0.06
0.002,0.065
0.002,0.07
0.002,0.075
0.002,0.08
0.002,0.085
0.002,0.09
0.002,0.095
0.002,0.1
0.002,0.105
0.002,0.11
0.002,0.115
0.002,0.12
0.002,0.125
0.002,0.13
0.002,0.135
0.002,0.14
0.002,0.145
0.002,0.15
0.002,0.155
0.002,0.16
0.002,0.165
0.002,0.17
0.002,0.175
0.002,0.18
0.002,0.185
0.002,0.19
0.002,0.195
0.002,0.2
0.0025,0.0
0.0025,0.005
0.0025,0.01
0.0025,0.015
0.0025,0.02
0.0025,0.025
0.0025,0.03
0.0025,0.035
0.0025,0.04
0.0025,0.045
0.0025,0.05
0.0025,0.055
0.0025,0.06
0.0025,0.065
0.0025,0.07
0.0025,0.075
0.0025,0.08
0.0025,0.085
0.0025,0.09
0.0025,0.095
0.0025,0.1
0.0025,0.105
0.0025,0.11
0.0025,0.115
0.0025,0.12
0.0025,0.125
0.0025,0.13
0.0025,0.135
0.0025,0.14
0.0025,0.145
0.0025,0.15
0.0025,0.155
0.0025,0.16
0.0025,0.165
0.0025,0.17
0.0025,0.175
0.0025,0.18
0.0025,0.185
0.0025,0.19
0.0025,0.195
0.0025,0.2
0.003,0.0
0.003,0.005
0.003,0.01
0.003,0.015
0.003,0.02
0.003,0.025
0.003,0.03
0.003,0.035
0.003,0.04
0.003,0.045
0.003,0.05
0.003,0.055
0.003,0.06
0.003,0.065
0.003,0.07
0.003,0.075
0.003,0.08
0.003,0.085
0.003,0.09
0.003,0.095
0.003,0.1
0.003,0.105
0.003,0.11
0.003,0.115
0.003,0.12
0.003,0.125
0.003,0.13
0.003,0.135
0.003,0.14
0.003,0.145
0.003,0.15
0.003,0.155
0.003,0.16
0.003,0.165
0.003,0.17
0.003,0.175
0.003,0.18
0.003,0.185
0.003,0.19
0.003,0.195
0.003,0.2
0.0035,0.0
0.0035,0.005
0.0035,0.01
0.0035,0.015
0.0035,0.02
0.0035,0.025
0.0035,0.03
0.0035,0.035
0.0035,0.04
0.0035,0.045
0.0035,0.05
0.0035,0.055
0.0035,0.06
0.0035,0.065
0.0035,0.07
0.0035,0.075
0.0035,0.08
0.0035,0.085
0.0035,0.09
0.0035,0.095
0.0035,0.1
0.0035,0.105
0.0035,0.11
0.0035,0.115
0.0035,0.12
0.0035,0.125
0.0035,0.13
0.0035,0.135
0.0035,0.14
0.0035,0.145
0.0035,0.15
0.0035,0.155
0.0035,0.16
0.0035,0.165
0.0035,0.17
0.0035,0.175
0.0035,0.18
0.0035,0.185
0.0035,0.19
0.0035,0.195
0.0035,0.2
0.004,0.0
0.004,0.005
0.004,0.01
0.004,0.015
0.004,0.02
0.004,0.025
0.004,0.03
0.004,0.035
0.004,0.04
0.004,0.045
0.004,0.05
0.004,0.055
0.004,0.06
0.004,0.065
0.004,0.07
0.004,0.075
0.004,0.08
0.004,0.085
0.004,0.09
0.004,0.095
0.004,0.1
0.004,0.105
0.004,0.11
0.004,0.115
0.004,0.12
0.004,0.125
0.004,0.13
0.004,0.135
0.004,0.14
0.004,0.145
0.004,0.15
0.004,0.155
0.004,0.16
0.004,0.165
0.004,0.17
0.004,0.175
0.004,0.18
0.004,0.185
0.004,0.19
0.004,0.195
0.004,0.2
0.0045,0.0
0.0045,0.005
0.0045,0.01
0.0045,0.015
0.0045,0.02
0.0045,0.025
0.0045,0.03
0.0045,0.035
0.0045,0.04
0.0045,0.045
0.0045,0.05
0.0045,0.055
0.0045,0.06
0.0045,0.065
0.0045,0.07
0.0045,0.075
0.0045,0.08
0.0045,0.085
0.0045,0.09
0.0045,0.095
0.0045,0.1
0.0045,0.105
0.0045,0.11
0.0045,0.115
0.0045,0.12
0.0045,0.125
0.0045,0.13
0.0045,0.135
0.0045,0.14
0.0045,0.145
0.0045,0.15
0.0045,0.155
0.0045,0.16
0.0045,0.165
0.0045,0.17
0.0045,0.175
0.0045,0.18
0.0045,0.185
0.0045,0.19
0.0045,0.195
0.0045,0.2
0.005,0.0
0.005,0.005
0.005,0.01
0.005,0.015
0.005,0.02
0.005,0.025
0.005,0.03
0.005,0.035
0.005,0.04
0.005,0.045
0.005,0.05
0.005,0.055
0.005,0.06
0.005,0.065
0.005,0.07
0.005,0.075
0.005,0.08
0.005,0.085
0.005,0.09
0.005,0.095
0.005,0.1
0.005,0.105
0.005,0.11
0.005,0.115
0.005,0.12
0.005,0.125
0.005,0.13
0.005,0.135
0.005,0.14
0.005,0.145
0.005,0.15
0.005,0.155
0.005,0.16
0.005,0.165
0.005,0.17
0.005,0.175
0.005,0.18
0.005,0.185
0.005,0.19
0.005,0.195
0.005,0.2
0.0055,0.0
0.0055,0.005
0.0055,0.01
0.0055,0.015
0.0055,0.02
0.0055,0.025
0.0055,0.03
0.0055,0.035
0.0055,0.04
0.0055,0.045
0.0055,0.05
0.0055,0.055
0.0055,0.06
0.0055,0.065
0.0055,0.07
0.0055,0.075
0.0055,0.08
0.0055,0.085
0.0055,0.09
0.0055,0.095
0.0055,0.1
0.0055,0.105
0.0055,0.11
0.0055,0.115
0.0055,0.12
0.0055,0.125
0.0055,0.13
0.0055,0.135
0.0055,0.14
0.0055,0.145
0.0055,0.15
0.0055,0.155
0.0055,0.16
0.0055,0.165
0.0055,0.17
0.0055,0.175
0.0055,0.18
0.0055,0.185
0.0055,0.19
0.0055,0.195
0.0055,0.2
0.006,0.0
0.006,0.005
0.006,0.01
0.006,0.015
0.006,0.02
0.006,0.025
0.006,0.03
0.006,0.035
0.006,0.04
0.006,0.045
0.006,0.05
0.006,0.055
0.006,0.06
0.006,0.065
0.006,0.07
0.006,0.075
0.006,0.08
0.006,0.085
0.006,0.09
0.006,0.095
0.006,0.1
0.006,0.105
0.006,0.11
0.006,0.115
0.006,0.12
0.006,0.125
0.006,0.13
0.006,0.135
0.006,0.14
0.006,0.145
0.006,0.15
0.006,0.155
0.006,0.16
0.006,0.165
0.006,0.17
0.006,0.175
0.006,0.18
0.006,0.185
0.006,0.19
0.006,0.195
0.006,0.2
0.0065,0.0
0.0065,0.005
0.0065,0.01
0.0065,0.015
0.0065,0.02
0.0065,0.025
0.0065,0.03
0.0065,0.035
0.0065,0.04
0.0065,0.045
0.0065,0.05
0.0065,0.055
0.0065,0.06
0.0065,0.065
0.0065,0.07
0.0065,0.075
0.0065,0.08
0.0065,0.085
0.0065,0.09
0.0065,0.095
0.0065,0.1
0.0065,0.105
0.0065,0.11
0.0065,0.115
0.0065,0.12
0.0065,0.125
0.0065,0.13
0.0065,0.135
0.0065,0.14
0.0065,0.145
0.0065,0.15
0.0065,0.155
0.0065,0.16
0.0065,0.165
0.0065,0.17
0.0065,0.175
0.0065,0.18
0.0065,0.185
0.0065,0.19
0.0065,0.195
0.0065,0.2
0.007,0.0
0.007,0.005
0.007,0.01
0.007,0.015
0.007,0.02
0.007,0.025
0.007,0.03
0.007,0.035
0.007,0.04
0.007,0.045
0.007,0.05
0.007,0.055
0.007,0.06
0.007,0.065
0.007,0.07
0.007,0.075
0.007,0.08
0.007,0.085
0.007,0.09
0.007,0.095
0.007,0.1
0.007,0.105
0.007,0.11
0.007,0.115
0.007,0.12
0.007,0.125
0.007,0.13
0.007,0.135
0.007,0.14
0.007,0.145
0.007,0.15
0.007,0.155
0.007,0.16
0.007,0.165
0.007,0.17
0.007,0.175
0.007,0.18
0.007,0.185
0.007,0.19
0.007,0.195
0.007,0.2
0.0075,0.0
0.0075,0.005
0.0075,0.01
0.0075,0.015
0.0075,0.02
0.0075,0.025
0.0075,0.03
0.0075,0.035
0.0075,0.04
0.0075,0.045
0.0075,0.05
0.0075,0.055
0.0075,0.06
0.0075,0.065
0.0075,0.07
0.0075,0.075
0.0075,0.08
0.0075,0.085
0.0075,0.09
0.0075,0.095
0.0075,0.1
0.0075,0.105
0.0075,0.11
0.0075,0.115
0.0075,0.12
0.0075,0.125
0.0075,0.13
0.0075,0.135
0.0075,0.14
0.0075,0.145
0.0075,0.15
0.0075,0.155
0.0075,0.16
0.0075,0.165
0.0075,0.17
0.0075,0.175
0.0075,0.18
0.0075,0.185
0.0075,0.19
0.0075,0.195
0.0075,0.2
0.008,0.0
0.008,0.005
0.008,0.01
0.008,0.015
0.008,0.02
0.008,0.025
0.008,0.03
0.008,0.035
0.008,0.04
0.008,0.045
0.008,0.05
0.008,0.055
0.008,0.06
0.008,0.065
0.008,0.07
0.008,0.075
0.008,0.08
0.008,0.085
0.008,0.09
0.008,0.095
0.008,0.1
0.008,0.105
0.008,0.11
0.008,0.115
0.008,0.12
0.008,0.125
0.008,0.13
0.008,0.135
0.008,0.14
0.008,0.145
0.008,0.15
0.008,0.155
0.008,0.16
0.008,0.165
0.008,0.17
0.008,0.175
0.008,0.18
0.008,0.185
0.008,0.19
0.008,0.195
0.008,0.2
0.0085,0.0
0.0085,0.005
0.0085,0.01
0.0085,0.015
0.0085,0.02
0.0085,0.025
0.0085,0.03
0.0085,0.035
0.0085,0.04
0.0085,0.045
0.0085,0.05
0.0085,0.055
0.0085,0.06
0.0085,0.065
0.0085,0.07
0.0085,0.075
0.0085,0.08
0.0085,0.085
0.0085,0.09
0.0085,0.095
0.0085,0.1
0.0085,0.105
0.0085,0.11
0.0085,0.115
0.0085,0.12
0.0085,0.125
0.0085,0.13
0.0085,0.135
0.0085,0.14
0.0085,0.145
0.0085,0.15
0.0085,0.155
0.0085,0.16
0.0085,0.165
0.0085,0.17
0.0085,0.175
0.0085,0.18
0.0085,0.185
0.0085,0.19
0.0085,0.195
0.0085,0.2
0.009,0.0
0.009,0.005
0.009,0.01
0.009,0.015
0.009,0.02
0.009,0.025
0.009,0.03
0.009,0.035
0.009,0.04
0.009,0.045
0.009,0.05
0.009,0.055
0.009,0.06
0.009,0.065
0.009,0.07
0.009,0.075
0.009,0.08
0.009,0.085
0.009,0.09
0.009,0.095
0.009,0.1
0.009,0.105
0.009,0.11
0.009,0.115
0.009,0.12
0.009,0.125
0.009,0.13
0.009,0.135
0.009,0.14
0.009,0.145
0.009,0.15
0.009,0.155
0.009,0.16
0.009,0.165
0.009,0.17
0.009,0.175
0.009,0.18
0.009,0.185
0.009,0.19
0.009,0.195
0.009,0.2
0.0095,0.0
0.0095,0.005
0.0095,0.01
0.0095,0.015
0.0095,0.02
0.0095,0.025
0.0095,0.03
0.0095,0.035
0.0095,0.04
0.0095,0.045
0.0095,0.05
0.0095,0.055
0.0095,0.06
0.0095,0.065
0.0095,0.07
0.0095,0.075
0.0095,0.08
0.0095,0.085
0.0095,0.09
0.0095,0.095
0.0095,0.1
0.0095,0.105
0.0095,0.11
0.0095,0.115
0.0095,0.12
0.0095,0.125
0.0095,0.13
0.0095,0.135
0.0095,0.14
0.0095,0.145
0.0095,0.15
0.0095,0.155
0.0095,0.16
0.0095,0.165
0.0095,0.17
0.0095,0.175
0.0095,0.18
0.0095,0.185
0.0095,0.19
0.0095,0.195
0.0095,0.2
0.01,0.0
0.01,0.005
0.01,0.01
0.01,0.015
0.01,0.02
0.01,0.025
0.01,0.03
0.01,0.035
0.01,0.04
0.01,0.045
0.01,0.05
0.01,0.055
0.01,0.06
0.01,0.065
0.01,0.07
0.01,0.075
0.01,0.08
0.01,0.085
0.01,0.09
0.01,0.095
0.01,0.1
0.01,0.105
0.01,0.11
0.01,0.115
0.01,0.12
0.01,0.125
0.01,0.13
0.01,0.135
0.01,0.14
0.01,0.145
0.01,0.15
0.01,0.155
0.01,0.16
0.01,0.165
0.01,0.17
0.01,0.175
0.01,0.18
0.01,0.185
0.01,0.19
0.01,0.195
0.01,0.2
0.011,0.0
0.011,0.005
0.011,0.01
0.011,0.015
0.011,0.02
0.011,0.025
0.011,0.03
0.011,0.035
0.011,0.04
0.011,0.045
0.011,0.05
0.011,0.055
0.011,0.06
0.011,0.065
0.011,0.07
0.011,0.075
0.011,0.08
0.011,0.085
0.011,0.09
0.011,0.095
0.011,0.1
0.011,0.105
0.011,0.11
0.011,0.115
0.011,0.12
0.011,0.125
0.011,0.13
0.011,0.135
0.011,0.14
0.011,0.145
0.011,0.15
0.011,0.155
0.011,0.16
0.011,0.165
0.011,0.17
0.011,0.175
0.011,0.18
0.011,0.185
0.011,0.19
0.011,0.195
0.011,0.2
0.012,0.0
0.012,0.005
0.012,0.01
0.012,0.015
0.012,0.02
0.012,0.025
0.012,0.03
0.012,0.035
0.012,0.04
0.012,0.045
0.012,0.05
0.012,0.055
0.012,0.06
0.012,0.065
0.012,0.07
0.012,0.075
0.012,0.08
0.012,0.085
0.012,0.09
0.012,0.095
0.012,0.1
0.012,0.105
0.012,0.11
0.012,0.115
0.012,0.12
0.012,0.125
0.012,0.13
0.012,0.135
0.012,0.14
0.012,0.145
0.012,0.15
0.012,0.155
0.012,0.16
0.012,0.165
0.012,0.17
0.012,0.175
0.012,0.18
0.012,0.185
0.012,0.19
0.012,0.195
0.012,0.2
0.013,0.0
0.013,0.005
0.013,0.01
0.013,0.015
0.013,0.02
0.013,0.025
0.013,0.03
0.013,0.035
0.013,0.04
0.013,0.045
0.013,0.05
0.013,0.055
0.013,0.06
0.013,0.065
0.013,0.07
0.013,0.075
0.013,0.08
0.013,0.085
0.013,0.09
0.013,0.095
0.013,0.1
0.013,0.105
0.013,0.11
0.013,0.115
0.013,0.12
0.013,0.125
0.013,0.13
0.013,0.135
0.013,0.14
0.013,0.145
0.013,0.15
0.013,0.155
0.013,0.16
0.013,0.165
0.013,0.17
0.013,0.175
0.013,0.18
0.013,0.185
0.013,0.19
0.013,0.195
0.013,0.2
0.014,0.0
0.014,0.005
0.014,0.01
0.014,0.015
0.014,0.02
0.014,0.025
0.014,0.03
0.014,0.035
0.014,0.04
0.014,0.045
0.014,0.05
0.014,0.055
0.014,0.06
0.014,0.065
0.014,0.07
0.014,0.075
0.014,0.08
0.014,0.085
0.014,0.09
0.014,0.095
0.014,0.1
0.014,0.105
0.014,0.11
0.014,0.115
0.014,0.12
0.014,0.125
0.014,0.13
0.014,0.135
0.014,0.14
0.014,0.145
0.014,0.15
0.014,0.155
0.014,0.16
0.014,0.165
0.014,0.17
0.014,0.175
0.014,0.18
0.014,0.185
0.014,0.19
0.014,0.195
0.014,0.2
0.015,0.0
0.015,0.005
0.015,0.01
0.015,0.015
0.015,0.02
0.015,0.025
0.015,0.03
0.015,0.035
0.015,0.04
0.015,0.045
0.015,0.05
0.015,0.055
0.015,0.06
0.015,0.065
0.015,0.07
0.015,0.075
0.015,0.08
0.015,0.085
0.015,0.09
0.015,0.095
0.015,0.1
0.015,0.105
0.015,0.11
0.015,0.115
0.015,0.12
0.015,0.125
0.015,0.13
0.015,0.135
0.015,0.14
0.015,0.145
0.015,0.15
0.015,0.155
0.015,0.16
0.015,0.165
0.015,0.17
0.015,0.175
0.015,0.18
0.015,0.185
0.015,0.19
0.015,0.195
0.015,0.2
0.016,0.0
0.016,0.005
0.016,0.01
0.016,0.015
0.016,0.02
0.016,0.025
0.016,0.03
0.016,0.035
0.016,0.04
0.016,0.045
0.016,0.05
0.016,0.055
0.016,0.06
0.016,0.065
0.016,0.07
0.016,0.075
0.016,0.08
0.016,0.085
0.016,0.09
0.016,0.095
0.016,0.1
0.016,0.105
0.016,0.11
0.016,0.115
0.016,0.12
0.016,0.125
0.016,0.13
0.016,0.135
0.016,0.14
0.016,0.145
0.016,0.15
0.016,0.155
0.016,0.16
0.016,0.165
0.016,0.17
0.016,0.175
0.016,0.18
0.016,0.185
0.016,0.19
0.016,0.195
0.016,0.2
0.017,0.0
0.017,0.005
0.017,0.01
0.017,0.015
0.017,0.02
0.017,0.025
0.017,0.03
0.017,0.035
0.017,0.04
0.017,0.045
0.017,0.05
0.017,0.055
0.017,0.06
0.017,0.065
0.017,0.07
0.017,0.075
0.017,0.08
0.017,0.085
0.017,0.09
0.017,0.095
0.017,0.1
0.017,0.105
0.017,0.11
0.017,0.115
0.017,0.12
0.017,0.125
0.017,0.13
0.017,0.135
0.017,0.14
0.017,0.145
0.017,0.15
0.017,0.155
0.017,0.16
0.017,0.165
0.017,0.17
0.017,0.175
0.017,0.18
0.017,0.185
0.017,0.19
0.017,0.195
0.017,0.2
0.018,0.0
0.018,0.005
0.018,0.01
0.018,0.015
0.018,0.02
0.018,0.025
0.018,0.03
0.018,0.035
0.018,0.04
0.018,0.045
0.018,0.05
0.018,0.055
0.018,0.06
0.018,0.065
0.018,0.07
0.018,0.075
0.018,0.08
0.018,0.085
0.018,0.09
0.018,0.095
0.018,0.1
0.018,0.105
0.018,0.11
0.018,0.115
0.018,0.12
0.018,0.125
0.018,0.13
0.018,0.135
0.018,0.14
0.018,0.145
0.018,0.15
0.018,0.155
0.018,0.16
0.018,0.165
0.018,0.17
0.018,0.175
0.018,0.18
0.018,0.185
0.018,0.19
0.018,0.195
0.018,0.2
0.019,0.0
0.019,0.005
0.019,0.01
0.019,0.015
0.019,0.02
0.019,0.025
0.019,0.03
0.019,0.035
0.019,0.04
0.019,0.045
0.019,0.05
0.019,0.055
0.019,0.06
0.019,0.065
0.019,0.07
0.019,0.075
0.019,0.08
0.019,0.085
0.019,0.09
0.019,0.095
0.019,0.1
0.019,0.105
0.019,0.11
0.019,0.115
0.019,0.12
0.019,0.125
0.019,0.13
0.019,0.135
0.019,0.14
0.019,0.145
0.019,0.15
0.019,0.155
0.019,0.16
0.019,0.165
0.019,0.17
0.019,0.175
0.019,0.18
0.019,0.185
0.019,0.19
0.019,0.195
0.019,0.2
0.02,0.0
0.02,0.005
0.02,0.01
0.02,0.015
0.02,0.02
0.02,0.025
0.02,0.03
0.02,0.035
0.02,0.04
0.02,0.045
0.02,0.05
0.02,0.055
0.02,0.06
0.02,0.065
0.02,0.07
0.02,0.075
0.02,0.08
0.02,0.085
0.02,0.09
0.02,0.095
0.02,0.1
0.02,0.105
0.02,0.11
0.02,0.115
0.02,0.12
0.02,0.125
0.02,0.13
0.02,0.135
0.02,0.14
0.02,0.145
0.02,0.15
0.02,0.155
0.02,0.16
0.02,0.165
0.02,0.17
0.02,0.175
0.02,0.18
0.02,0.185
0.02,0.19
0.02,0.195
0.02,0.2
0.025,0.0
0.025,0.005
0.025,0.01
0.025,0.015
0.025,0.02
0.025,0.025
0.025,0.03
0.025,0.035
0.025,0.04
0.025,0.045
0.025,0.05
0.025,0.055
0.025,0.06
0.025,0.065
0.025,0.07
0.025,0.075
0.025,0.08
0.025,0.085
0.025,0.09
0.025,0.095
0.025,0.1
0.025,0.105
0.025,0.11
0.025,0.115
0.025,0.12
0.025,0.125
0.025,0.13
0.025,0.135
0.025,0.14
0.025,0.145
0.025,0.15
0.025,0.155
0.025,0.16
0.025,0.165
0.025,0.17
0.025,0.175
0.025,0.18
0.025,0.185
0.025,0.19
0.025,0.195
0.025,0.2
0.03,0.0
0.03,0.005
0.03,0.01
0.03,0.015
0.03,0.02
0.03,0.025
0.03,0.03
0.03,0.035
0.03,0.04
0.03,0.045
0.03,0.05
0.03,0.055
0.03,0.06
0.03,0.065
0.03,0.07
0.03,0.075
0.03,0.08
0.03,0.085
0.03,0.09
0.03,0.095
0.03,0.1
0.03,0.105
0.03,0.11
0.03,0.115
0.03,0.12
0.03,0.125
0.03,0.13
0.03,0.135
0.03,0.14
0.03,0.145
0.03,0.15
0.03,0.155
0.03,0.16
0.03,0.165
0.03,0.17
0.03,0.175
0.03,0.18
0.03,0.185
0.03,0.19
0.03,0.195
0.03,0.2
0.04,0.0
0.04,0.005
0.04,0.01
0.04,0.015
0.04,0.02
0.04,0.025
0.04,0.03
0.04,0.035
0.04,0.04
0.04,0.045
0.04,0.05
0.04,0.055
0.04,0.06
0.04,0.065
0.04,0.07
0.04,0.075
0.04,0.08
0.04,0.085
0.04,0.09
0.04,0.095
0.04,0.1
